genre,color,size,left,top
neo-trad doom metal,"rgb(169, 119, 69)",100%,260px,8753px
classic czech pop,"rgb(131, 138, 7)",101%,644px,10786px
finnish worship,"rgb(142, 141, 13)",100%,596px,6578px
post-teen pop,"rgb(178, 132, 6)",134%,748px,3297px
honky-tonk piano,"rgb(125, 145, 173)",100%,974px,11394px
classic belgian pop,"rgb(156, 134, 8)",101%,741px,6455px
musica colombiana instrumental,"rgb(119, 161, 93)",100%,888px,10877px
scottish rock,"rgb(170, 123, 30)",103%,433px,6624px
experimental black metal,"rgb(190, 79, 137)",100%,160px,8614px
retro soul,"rgb(161, 129, 19)",102%,834px,6817px
lebanese pop,"rgb(158, 130, 12)",101%,715px,8167px
ngoni,"rgb(139, 143, 55)",100%,1033px,9971px
cali rap,"rgb(166, 134, 2)",108%,1080px,5745px
piano cover,"rgb(44, 176, 231)",103%,799px,14062px
yunnan traditional,"rgb(68, 149, 44)",100%,718px,12930px
asmr,"rgb(143, 0, 156)",102%,353px,11308px
drill and bass,"rgb(171, 121, 158)",101%,830px,3832px
no wave,"rgb(154, 114, 99)",101%,601px,7566px
fourth world,"rgb(82, 148, 175)",102%,370px,11626px
skweee,"rgb(161, 136, 136)",100%,1095px,2433px
chill groove,"rgb(152, 148, 183)",100%,1040px,2232px
danish techno,"rgb(174, 141, 192)",100%,1176px,1157px
commons,"rgb(129, 145, 116)",100%,684px,6723px
bass music,"rgb(169, 136, 153)",102%,936px,3177px
vaporwave,"rgb(150, 132, 159)",102%,527px,6747px
chant basque,"rgb(119, 132, 52)",100%,579px,11887px
dutch disney,"rgb(112, 138, 5)",100%,718px,11921px
canadian classical,"rgb(34, 159, 149)",101%,269px,15476px
vlaamse cabaret,"rgb(133, 111, 8)",100%,1016px,11418px
russian trance,"rgb(220, 121, 129)",100%,544px,1292px
nordic folk,"rgb(91, 159, 67)",101%,465px,12129px
nederlandse hardstyle,"rgb(224, 114, 39)",101%,827px,1713px
metal salvadoreno,"rgb(208, 93, 54)",100%,401px,8716px
classic schlager,"rgb(154, 133, 6)",103%,677px,8459px
jazz vibraphone,"rgb(89, 150, 93)",100%,943px,13124px
ohio indie,"rgb(160, 124, 45)",100%,419px,9314px
zambian pop,"rgb(177, 135, 6)",100%,955px,5545px
swedish singer-songwriter,"rgb(111, 152, 39)",102%,581px,11419px
devon indie,"rgb(147, 137, 13)",100%,567px,7868px
mod revival,"rgb(187, 112, 24)",101%,501px,7578px
nz christian,"rgb(138, 141, 10)",100%,445px,8287px
clawhammer banjo,"rgb(96, 159, 108)",100%,918px,12438px
pop costarricense,"rgb(175, 139, 15)",100%,1020px,5075px
swamp rock,"rgb(159, 120, 22)",104%,803px,9260px
christian punk,"rgb(203, 105, 29)",101%,415px,5102px
welsh rock,"rgb(183, 118, 25)",102%,405px,5500px
deep turkish pop,"rgb(175, 132, 7)",103%,803px,4746px
indonesian city pop,"rgb(142, 148, 14)",101%,614px,7654px
brega,"rgb(150, 141, 6)",102%,767px,8254px
german cloud rap,"rgb(161, 143, 17)",107%,1044px,6628px
classic portuguese pop,"rgb(172, 132, 5)",101%,825px,4871px
japanese indie rock,"rgb(196, 114, 31)",101%,372px,4063px
mainland chinese pop,"rgb(136, 150, 12)",102%,606px,7105px
rap latina,"rgb(176, 139, 6)",105%,1115px,4195px
poetry,"rgb(53, 124, 8)",100%,1268px,13102px
string quartet,"rgb(32, 167, 121)",100%,360px,15851px
bossa nova,"rgb(103, 148, 59)",106%,859px,12290px
scottish folk,"rgb(99, 161, 48)",101%,527px,12080px
medieval rock,"rgb(190, 113, 36)",102%,431px,5002px
maine indie,"rgb(146, 135, 40)",100%,538px,10147px
romanian folk,"rgb(113, 154, 39)",100%,608px,13069px
neo-proto,"rgb(192, 106, 33)",100%,449px,6906px
leeds indie,"rgb(184, 115, 42)",100%,374px,5599px
modern alternative rock,"rgb(191, 116, 22)",114%,413px,4485px
chaotic black metal,"rgb(198, 68, 161)",100%,89px,8515px
polish alternative rock,"rgb(180, 121, 30)",101%,488px,5172px
telugu worship,"rgb(170, 132, 10)",100%,959px,4591px
symphonic rock,"rgb(149, 126, 58)",107%,441px,10037px
psychedelic folk,"rgb(105, 147, 36)",101%,664px,11703px
german hip hop,"rgb(174, 132, 22)",115%,1029px,6528px
uk post-punk revival,"rgb(197, 109, 73)",100%,391px,6062px
manila sound,"rgb(108, 152, 13)",101%,509px,11232px
heartland rock,"rgb(167, 121, 15)",109%,538px,8528px
nashville indie,"rgb(160, 130, 35)",101%,467px,7541px
mandopop,"rgb(141, 143, 5)",107%,596px,7272px
arabesk,"rgb(155, 133, 7)",104%,684px,9098px
brazilian hip hop,"rgb(163, 133, 15)",108%,1071px,7071px
psicodelia mexicana,"rgb(174, 121, 110)",100%,289px,7259px
uk alternative hip hop,"rgb(169, 127, 26)",104%,1033px,7778px
louvor icm,"rgb(109, 157, 32)",100%,421px,9598px
solomon islands pop,"rgb(167, 142, 5)",100%,1008px,3014px
classic indo pop,"rgb(141, 150, 16)",102%,584px,6833px
spanish contemporary classical,"rgb(38, 157, 140)",100%,357px,15440px
manso indie,"rgb(148, 140, 41)",101%,574px,7043px
new brunswick indie,"rgb(143, 139, 28)",100%,577px,8642px
vermont indie,"rgb(120, 143, 50)",101%,560px,11085px
spanish rockabilly,"rgb(203, 108, 24)",100%,632px,6784px
indy indie,"rgb(139, 139, 32)",101%,514px,9823px
classic israeli pop,"rgb(131, 142, 12)",102%,660px,9552px
arizona punk,"rgb(224, 85, 43)",100%,357px,6710px
boom bap,"rgb(183, 116, 18)",102%,916px,7535px
world,"rgb(146, 136, 39)",104%,896px,9342px
greek psychedelic rock,"rgb(170, 125, 80)",100%,355px,8418px
wuhan indie,"rgb(168, 132, 49)",100%,490px,5537px
finnish progressive rock,"rgb(158, 129, 86)",100%,421px,10086px
gainesville indie,"rgb(167, 124, 46)",100%,449px,8565px
brazilian punk,"rgb(219, 88, 26)",102%,405px,6857px
turkish psych,"rgb(141, 132, 35)",102%,656px,10761px
christian metal,"rgb(204, 96, 35)",102%,347px,5051px
lustrum,"rgb(148, 139, 31)",100%,928px,6465px
punk tuga,"rgb(209, 98, 32)",100%,411px,5741px
new mexico music,"rgb(133, 141, 13)",100%,871px,8889px
deep pop r&b,"rgb(151, 145, 3)",110%,918px,5250px
volkstumliche musik,"rgb(182, 131, 14)",100%,808px,4577px
mexican pop,"rgb(174, 134, 5)",113%,751px,4329px
rap sardegna,"rgb(173, 126, 8)",101%,1093px,5520px
junior eurovision,"rgb(174, 137, 9)",100%,763px,3165px
joropo,"rgb(157, 145, 25)",100%,932px,12129px
progressive metal,"rgb(199, 103, 49)",105%,255px,5357px
chamber choir,"rgb(33, 156, 64)",100%,141px,16352px
japanese post-hardcore,"rgb(215, 90, 53)",101%,229px,5512px
swedish metal,"rgb(217, 81, 94)",103%,178px,6086px
melodic hardcore,"rgb(230, 78, 24)",103%,287px,6772px
deathrash,"rgb(234, 62, 83)",101%,228px,7406px
buffalo ny metal,"rgb(229, 65, 92)",100%,242px,8651px
musica ayacuchana,"rgb(162, 145, 9)",100%,1010px,10377px
dutch black metal,"rgb(204, 66, 149)",100%,84px,8096px
ukrainian metal,"rgb(209, 94, 105)",100%,183px,5370px
british black metal,"rgb(213, 67, 113)",100%,119px,7541px
sci-fi metal,"rgb(202, 96, 96)",100%,174px,5549px
norwegian metal,"rgb(209, 77, 103)",101%,129px,6920px
florida hardcore,"rgb(232, 76, 53)",100%,289px,8778px
italian stoner rock,"rgb(185, 111, 130)",100%,199px,8373px
progressive deathcore,"rgb(234, 71, 103)",101%,222px,4221px
folclor afrocolombiano,"rgb(169, 136, 17)",100%,1107px,8578px
canadian black metal,"rgb(200, 71, 159)",100%,95px,7986px
experimental poetry,"rgb(66, 112, 35)",100%,970px,12983px
arab electronic,"rgb(179, 143, 169)",101%,1173px,1219px
rwandan traditional,"rgb(86, 148, 54)",100%,1029px,13370px
downtempo,"rgb(155, 138, 118)",106%,819px,3545px
finnish electro,"rgb(170, 135, 125)",100%,823px,2308px
hamburg electronic,"rgb(186, 134, 155)",102%,1178px,972px
reggae,"rgb(138, 143, 32)",107%,1211px,5355px
musica nativista,"rgb(122, 121, 5)",102%,1190px,9464px
swedish contemporary classical,"rgb(34, 156, 121)",100%,235px,15234px
rock catala,"rgb(146, 136, 19)",101%,677px,8471px
fingerstyle,"rgb(77, 167, 172)",102%,882px,12940px
samba,"rgb(122, 141, 26)",106%,863px,11493px
blues,"rgb(105, 134, 34)",104%,1012px,13327px
haitian gospel,"rgb(151, 138, 11)",100%,611px,8447px
classic turkish pop,"rgb(129, 138, 14)",101%,574px,12019px
rockabilly,"rgb(136, 126, 19)",106%,783px,11517px
indie platense,"rgb(163, 134, 36)",100%,492px,7117px
sunshine pop,"rgb(125, 132, 8)",103%,673px,11072px
progressive alternative,"rgb(183, 121, 48)",100%,338px,5705px
german punk rock,"rgb(211, 101, 14)",101%,413px,4321px
cimbalom,"rgb(107, 152, 108)",100%,718px,13456px
manitoba indie,"rgb(136, 141, 25)",100%,551px,9117px
irish rock,"rgb(159, 130, 28)",105%,459px,6698px
swamp pop,"rgb(137, 134, 17)",100%,840px,9688px
indorock,"rgb(154, 135, 56)",100%,741px,8328px
oulu indie,"rgb(180, 119, 31)",100%,387px,7030px
chinese new year,"rgb(156, 143, 7)",100%,704px,7143px
belgian hardcore,"rgb(219, 85, 75)",100%,300px,8336px
australian post-rock,"rgb(130, 144, 184)",100%,306px,9049px
v-pop,"rgb(133, 149, 5)",103%,624px,8555px
spanish hip hop,"rgb(185, 123, 22)",106%,1047px,7535px
dutch jazz,"rgb(95, 145, 118)",100%,733px,12339px
classical era,"rgb(32, 163, 151)",103%,455px,16168px
grime brasileiro,"rgb(158, 141, 16)",100%,1029px,7312px
burkinabe traditional,"rgb(134, 135, 90)",100%,1115px,12186px
future rock,"rgb(216, 112, 100)",102%,405px,1895px
spanish invasion,"rgb(154, 131, 22)",100%,710px,10112px
vancouver metal,"rgb(208, 87, 89)",100%,256px,6376px
taiwan indie,"rgb(150, 136, 35)",102%,531px,6673px
blues latinoamericano,"rgb(170, 125, 25)",100%,650px,8043px
hampton roads indie,"rgb(165, 132, 37)",100%,457px,8251px
german country,"rgb(160, 132, 29)",101%,788px,6854px
serbian folk,"rgb(136, 143, 26)",100%,549px,11716px
chinese indie,"rgb(134, 143, 23)",103%,551px,8385px
canadian indie folk,"rgb(105, 153, 37)",100%,533px,11407px
modern bollywood,"rgb(139, 134, 22)",109%,765px,10222px
progressive rock,"rgb(149, 127, 60)",107%,415px,9389px
christian alternative rock,"rgb(167, 132, 16)",108%,401px,4606px
ska espanol,"rgb(205, 116, 20)",101%,806px,3918px
bangla,"rgb(103, 151, 21)",100%,653px,12092px
rap catalan,"rgb(182, 131, 9)",101%,1031px,7262px
thai folk,"rgb(129, 143, 26)",101%,619px,9013px
norwegian alternative rock,"rgb(184, 110, 74)",100%,310px,7892px
swedish trap pop,"rgb(163, 141, 12)",105%,1014px,7473px
goralski,"rgb(131, 146, 5)",100%,788px,9235px
turkish singer-songwriter,"rgb(136, 145, 12)",102%,707px,8179px
south african metal,"rgb(219, 92, 95)",100%,300px,3909px
rock gotico,"rgb(192, 116, 86)",100%,401px,3338px
assyrian pop,"rgb(175, 130, 3)",100%,753px,5193px
dutch hip hop,"rgb(168, 139, 14)",108%,1104px,4987px
persian hip hop,"rgb(175, 135, 12)",100%,961px,5986px
chakra,"rgb(45, 75, 193)",100%,79px,12552px
guaracha,"rgb(204, 125, 125)",102%,1237px,1182px
polish free jazz,"rgb(81, 145, 151)",100%,574px,13715px
traditional folk,"rgb(86, 148, 25)",106%,896px,13038px
progressive uplifting trance,"rgb(224, 115, 156)",101%,547px,1066px
late romantic era,"rgb(38, 154, 137)",103%,336px,16242px
hawaiian punk,"rgb(205, 87, 38)",100%,435px,9302px
musica sergipana,"rgb(150, 138, 24)",100%,673px,7715px
canadian blues,"rgb(152, 126, 14)",100%,723px,9564px
cha-cha-cha,"rgb(127, 132, 66)",101%,961px,12488px
classic australian country,"rgb(124, 143, 5)",100%,880px,10173px
malagasy pop,"rgb(171, 132, 8)",100%,953px,6515px
oaxaca indie,"rgb(137, 145, 28)",100%,814px,8279px
mambo,"rgb(139, 128, 70)",101%,1010px,12191px
autoharp,"rgb(110, 151, 40)",100%,721px,11665px
mestissatge,"rgb(188, 129, 6)",101%,853px,3338px
missouri indie,"rgb(136, 138, 32)",100%,556px,9639px
variete francaise,"rgb(168, 135, 2)",103%,718px,6166px
desi pop,"rgb(145, 132, 21)",110%,776px,10074px
frankfurt indie,"rgb(194, 114, 38)",100%,413px,4833px
musica folk asturiana,"rgb(142, 145, 47)",100%,374px,9586px
traditional country,"rgb(82, 148, 18)",101%,912px,13263px
musica afroperuana,"rgb(145, 138, 30)",100%,1106px,9947px
anadolu rock,"rgb(142, 132, 33)",103%,601px,9601px
dark folk,"rgb(82, 157, 122)",100%,393px,11734px
canadian latin,"rgb(176, 132, 16)",101%,961px,3714px
musica popular amazonense,"rgb(165, 136, 17)",100%,851px,7547px
talent show,"rgb(168, 135, 4)",110%,627px,4451px
british alternative rock,"rgb(195, 110, 24)",102%,343px,4771px
indie psychedelic rock,"rgb(164, 123, 99)",100%,282px,8949px
christian music,"rgb(154, 137, 15)",109%,401px,5802px
nz singer-songwriter,"rgb(120, 148, 24)",101%,567px,9713px
balkan trap,"rgb(158, 150, 7)",101%,1060px,3380px
swedish underground rap,"rgb(178, 124, 19)",100%,1036px,7436px
pinoy trap,"rgb(152, 146, 11)",102%,1033px,4717px
arkansas hip hop,"rgb(151, 148, 3)",101%,1091px,4434px
canadian indigenous hip hop,"rgb(157, 136, 13)",100%,1098px,4158px
colombian hip hop,"rgb(171, 130, 12)",102%,1097px,5421px
belgian experimental,"rgb(99, 138, 162)",100%,484px,11813px
relaxative,"rgb(56, 167, 205)",102%,668px,12463px
techno,"rgb(182, 136, 190)",102%,1147px,1145px
j-ambient,"rgb(84, 150, 179)",101%,431px,11755px
guidance,"rgb(76, 107, 19)",100%,1208px,11423px
musica andina,"rgb(77, 163, 152)",101%,632px,12287px
new beat,"rgb(196, 121, 130)",100%,991px,990px
judaica,"rgb(77, 145, 22)",100%,713px,11789px
mevlevi sufi,"rgb(80, 156, 92)",100%,465px,13736px
cantautor,"rgb(133, 141, 15)",108%,741px,9912px
kabarett,"rgb(121, 101, 3)",102%,1194px,12337px
eau claire indie,"rgb(122, 143, 60)",102%,476px,11023px
death industrial,"rgb(148, 93, 169)",100%,132px,9516px
historic string quartet,"rgb(36, 168, 137)",100%,378px,16397px
spanish rock,"rgb(174, 132, 14)",105%,563px,4845px
thai traditional,"rgb(76, 163, 97)",100%,814px,15114px
baroque singing,"rgb(29, 170, 72)",100%,399px,15289px
lafayette indie,"rgb(159, 132, 22)",100%,551px,8299px
brazilian ccm,"rgb(128, 148, 10)",102%,533px,9898px
english indie rock,"rgb(189, 119, 20)",104%,382px,4722px
filmi,"rgb(136, 134, 26)",108%,781px,11307px
dutch punk,"rgb(221, 83, 33)",100%,340px,6328px
malagasy folk,"rgb(141, 136, 41)",100%,1007px,9563px
reunion pop,"rgb(172, 137, 21)",101%,1058px,5720px
rhode island rap,"rgb(159, 133, 5)",103%,978px,7274px
canadian contemporary r&b,"rgb(144, 147, 6)",110%,812px,6389px
mexican post-rock,"rgb(153, 139, 167)",100%,336px,8269px
alternative metalcore,"rgb(211, 95, 37)",100%,353px,4882px
spanish psychedelic rock,"rgb(180, 122, 97)",100%,323px,7974px
worcester ma indie,"rgb(176, 119, 22)",100%,461px,6882px
classic sinhala pop,"rgb(148, 141, 14)",100%,867px,8316px
albanian hip hop,"rgb(179, 134, 12)",104%,1073px,4097px
luxembourgian hip hop,"rgb(161, 138, 10)",100%,1079px,5237px
azonto,"rgb(191, 130, 9)",102%,1111px,4617px
polish folk metal,"rgb(188, 94, 105)",100%,231px,7566px
west australian hip hop,"rgb(175, 131, 12)",100%,1031px,5372px
bossa nova cover,"rgb(109, 159, 61)",102%,967px,8627px
trot,"rgb(137, 149, 16)",100%,509px,9105px
polynesian hip hop,"rgb(171, 130, 5)",100%,1042px,5262px
lovers rock,"rgb(143, 145, 11)",103%,1176px,5025px
french contemporary classical,"rgb(37, 142, 136)",100%,302px,15172px
rakugo,"rgb(78, 101, 39)",100%,1220px,13973px
hindustani classical,"rgb(109, 141, 95)",100%,581px,13825px
modern free jazz,"rgb(91, 139, 111)",100%,687px,12983px
contemporary jazz,"rgb(81, 149, 135)",103%,721px,13226px
jazz double bass,"rgb(77, 147, 112)",100%,806px,13693px
chamber folk,"rgb(79, 161, 60)",100%,480px,12681px
wisconsin indie,"rgb(151, 127, 29)",100%,445px,9849px
classic uk pop,"rgb(141, 133, 7)",103%,731px,9184px
stomp and holler,"rgb(130, 142, 32)",112%,538px,10520px
scottish singer-songwriter,"rgb(115, 148, 21)",102%,624px,10557px
vintage old-time,"rgb(84, 149, 54)",100%,1042px,15351px
vintage swing,"rgb(73, 139, 59)",100%,1141px,14877px
swedish indie folk,"rgb(100, 159, 54)",101%,549px,11667px
beninese pop,"rgb(155, 134, 27)",100%,965px,7888px
lincoln ne indie,"rgb(155, 130, 40)",100%,484px,8950px
contemporary gospel,"rgb(163, 118, 4)",101%,632px,8999px
bangladeshi rock,"rgb(171, 122, 13)",100%,535px,6123px
muzica crestina,"rgb(119, 150, 20)",100%,503px,10468px
k-pop boy group,"rgb(198, 125, 17)",112%,772px,2764px
finnish punk,"rgb(215, 89, 25)",101%,355px,7235px
italian underground hip hop,"rgb(185, 123, 15)",103%,993px,7287px
polish post-rock,"rgb(146, 141, 185)",100%,271px,6969px
deep underground hip hop,"rgb(166, 139, 6)",106%,1014px,6440px
spanish reggae,"rgb(180, 134, 16)",100%,1104px,4605px
polish early music,"rgb(34, 164, 93)",100%,222px,16034px
coptic hymn,"rgb(70, 156, 7)",100%,520px,13241px
musica paraibana,"rgb(147, 141, 22)",100%,884px,8051px
cante alentejano,"rgb(57, 156, 92)",100%,629px,15222px
chutney,"rgb(140, 130, 30)",101%,817px,11468px
nitzhonot,"rgb(232, 117, 200)",100%,926px,377px
dutch singer-songwriter,"rgb(100, 155, 15)",101%,738px,10198px
newcastle nsw indie,"rgb(173, 120, 39)",100%,429px,7272px
spanish new wave,"rgb(186, 120, 18)",103%,656px,5295px
israeli pop,"rgb(143, 143, 12)",103%,606px,7917px
zydeco,"rgb(157, 132, 28)",100%,867px,8828px
mariachi,"rgb(100, 152, 22)",104%,786px,12056px
cypriot pop,"rgb(147, 141, 9)",100%,650px,8081px
pakistani hip hop,"rgb(171, 141, 10)",101%,1062px,5087px
swamp blues,"rgb(136, 128, 36)",100%,932px,10261px
orquesta tropical,"rgb(169, 139, 12)",100%,1098px,7722px
cook islands pop,"rgb(179, 132, 15)",100%,947px,4146px
cantopop,"rgb(135, 142, 4)",104%,629px,7829px
canadian psychedelic rock,"rgb(176, 123, 91)",100%,293px,8183px
classical piano duo,"rgb(25, 163, 218)",100%,687px,16083px
cumbia surena,"rgb(199, 141, 14)",100%,884px,4509px
melodic rap,"rgb(148, 156, 3)",124%,1082px,3480px
modern samba,"rgb(167, 130, 3)",102%,890px,9451px
christian hard rock,"rgb(206, 110, 27)",100%,275px,3350px
mexican thrash metal,"rgb(231, 71, 76)",100%,291px,8565px
new wave of glam metal,"rgb(220, 98, 14)",100%,295px,3156px
dark black metal,"rgb(217, 45, 145)",100%,57px,8169px
salsa cubana,"rgb(190, 129, 6)",101%,1068px,8476px
edinburgh metal,"rgb(211, 87, 110)",100%,197px,7480px
metal paraguayo,"rgb(220, 80, 73)",100%,238px,7504px
southern metal,"rgb(219, 92, 34)",101%,265px,5840px
canadian hardcore,"rgb(236, 62, 51)",100%,213px,7178px
denver metal,"rgb(226, 76, 111)",100%,194px,6283px
japanese black metal,"rgb(195, 76, 130)",100%,84px,7974px
neo-traditional bluegrass,"rgb(136, 149, 23)",101%,713px,9937px
swedish choir,"rgb(33, 157, 60)",100%,146px,16315px
swedish pop punk,"rgb(231, 74, 30)",100%,247px,7603px
black 'n' roll,"rgb(225, 59, 118)",100%,122px,7054px
belgian black metal,"rgb(206, 65, 150)",100%,72px,8208px
arab metal,"rgb(216, 85, 98)",100%,188px,5014px
italian folk metal,"rgb(212, 99, 31)",100%,233px,4038px
florida death metal,"rgb(230, 56, 112)",101%,199px,8900px
serbian metal,"rgb(217, 86, 64)",100%,224px,6258px
grindcore,"rgb(229, 45, 137)",100%,148px,8409px
thall,"rgb(217, 96, 114)",100%,238px,3918px
swedish black metal,"rgb(212, 60, 124)",100%,89px,7283px
polish death metal,"rgb(232, 58, 112)",100%,157px,6736px
celtic metal,"rgb(203, 103, 45)",101%,224px,5656px
deep symphonic black metal,"rgb(209, 80, 122)",100%,107px,8156px
israeli metal,"rgb(215, 85, 80)",100%,215px,5742px
new weird finland,"rgb(112, 133, 102)",100%,529px,12190px
spanish experimental,"rgb(110, 128, 161)",100%,385px,10986px
alternative dance,"rgb(180, 128, 79)",110%,772px,2282px
vintage french electronic,"rgb(126, 136, 116)",101%,598px,9873px
raw black metal,"rgb(197, 80, 151)",100%,255px,7615px
swedish electronic,"rgb(177, 143, 198)",101%,1208px,1021px
komedi,"rgb(100, 120, 14)",100%,888px,15222px
hyperpop,"rgb(165, 134, 83)",102%,810px,4220px
leipzig indie,"rgb(151, 139, 77)",100%,797px,4619px
future garage,"rgb(173, 138, 151)",103%,991px,2261px
deep chill-out,"rgb(143, 145, 151)",100%,912px,2777px
organic ambient,"rgb(111, 152, 169)",100%,459px,9377px
indian edm,"rgb(192, 137, 115)",102%,974px,1700px
belarusian electronic,"rgb(190, 140, 183)",100%,1102px,835px
dutch experimental,"rgb(87, 125, 176)",100%,355px,11371px
library music,"rgb(94, 144, 147)",100%,638px,12056px
lullaby,"rgb(46, 168, 141)",104%,577px,12684px
horror synth,"rgb(108, 149, 184)",100%,384px,8615px
british electroacoustic,"rgb(70, 128, 119)",100%,366px,12918px
african experimental,"rgb(116, 136, 154)",100%,553px,10615px
lo-fi house,"rgb(172, 135, 178)",101%,1138px,2062px
music box,"rgb(57, 170, 149)",102%,995px,12141px
psychill,"rgb(154, 148, 189)",101%,748px,2932px
darbuka,"rgb(189, 113, 132)",100%,1116px,4949px
frankfurt electronic,"rgb(185, 137, 192)",101%,1249px,583px
danish electronic,"rgb(188, 132, 116)",102%,1042px,1442px
irish techno,"rgb(183, 139, 197)",100%,1197px,910px
dweilorkest,"rgb(145, 107, 12)",100%,908px,11197px
spanish classical,"rgb(78, 150, 51)",100%,668px,15286px
japanese disney,"rgb(128, 132, 29)",100%,522px,11517px
israeli jazz,"rgb(92, 153, 169)",100%,776px,13069px
banjo,"rgb(110, 146, 49)",102%,906px,12327px
nueva ola chilena,"rgb(113, 145, 13)",101%,593px,12141px
rawstyle,"rgb(232, 97, 47)",104%,524px,2088px
austrian stoner rock,"rgb(180, 114, 92)",100%,325px,7191px
milwaukee indie,"rgb(165, 125, 37)",100%,435px,8753px
norwegian singer-songwriter,"rgb(98, 156, 26)",101%,549px,11642px
laiko,"rgb(140, 142, 6)",102%,763px,9614px
zouglou,"rgb(194, 122, 12)",100%,1020px,4346px
punk rock mexicano,"rgb(200, 107, 19)",101%,417px,6196px
hard rock,"rgb(196, 98, 34)",117%,372px,7676px
ethiopian pop,"rgb(158, 136, 22)",100%,869px,6866px
pop quebecois,"rgb(145, 143, 14)",102%,616px,7155px
zim urban groove,"rgb(159, 139, 27)",100%,945px,8925px
uzbek pop,"rgb(192, 128, 6)",101%,888px,3775px
latin arena pop,"rgb(174, 135, 5)",112%,656px,4955px
lo-fi chill,"rgb(114, 154, 9)",102%,898px,7952px
